Institution name,FTE of submitted staff,GPA,search_name,alt_name,editors,Allied Academies,American Psychological Association,American Society of Civil Engineers,BioMedCentral,Cambridge University Press,eLife,Elsevier,Emerald,Frontiers,Hindawi,IGI Global,iMedPub,Inderscience,John Benjamins,Karger,Longdom,MDPI,PeerJ,Pleiades,PLOS,SAGE,SCIRP,Brill,Springer Nature,Royal Society of Chemistry,SciTechnol,All
"University of the West of England, Bristol",372.25,2.92,"University of the West of England, Bristol",,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0
University of Keele,331.33,2.92,University of Keele,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,13.0
Brunel University London,638.1,2.875,Brunel University London,,31.0,0.0,0.0,0.0,2.0,2.0,0.0,31.0,4.0,119.0,3.0,3.0,0.0,11.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,27.0,1.0,0.0,1.0,0.0,0.0,216.0
Oxford Brookes University,377.16,2.85,Oxford Brookes University,,14.0,0.0,0.0,0.0,2.0,4.0,0.0,14.0,15.0,62.0,0.0,1.0,0.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,25.0,0.0,6.0,0.0,0.0,0.0,145.0
Edinburgh Napier University,251.06,2.8400000000000003,Edinburgh Napier University,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,37.0,2.0,3.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,93.0
Royal Conservatoire of Scotland,26.41,2.83,Royal Conservatoire of Scotland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sheffield Hallam University,458.22,2.82,Sheffield Hallam University,,17.0,1.0,0.0,0.0,2.0,2.0,0.0,17.0,19.0,63.0,0.0,15.0,0.0,11.0,1.0,0.0,3.0,2.0,0.0,0.0,3.0,22.0,0.0,1.0,0.0,0.0,1.0,163.0
The University of Bradford,221.56,2.815,University of Bradford,,29.0,0.0,0.0,0.0,3.0,2.0,0.0,29.0,20.0,38.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,119.0
"Queen Margaret University, Edinburgh",76.8,2.81,"Queen Margaret University, Edinburgh",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
London South Bank University,186.82,2.8099999999999996,London South Bank University,,21.0,0.0,0.0,0.0,2.0,1.0,0.0,21.0,10.0,46.0,1.0,2.0,1.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,116.0
Kingston University,368.25,2.8,Kingston University,,17.0,0.0,0.0,0.0,3.0,1.0,0.0,17.0,10.0,32.0,5.0,1.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,16.0,0.0,3.0,0.0,0.0,0.0,102.0
University of Greenwich,386.88,2.8,University of Greenwich,,19.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,12.0,66.0,3.0,6.0,1.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0,147.0
Anglia Ruskin University Higher Education Corporation,259.22,2.785,Anglia Ruskin University Higher Education Corporation,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of South Wales / Prifysgol De Cymru,195.0,2.7800000000000002,University of South Wales / Prifysgol De Cymru,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Central Lancashire,417.97,2.7800000000000002,University of Central Lancashire,,19.0,0.0,1.0,0.0,3.0,3.0,0.0,19.0,22.0,64.0,1.0,3.0,0.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0,152.0
