"Institution name","FTE of submitted staff","GPA","search_name","alt_name"
"Royal Northern College of Music",19.61,2.76,"Royal Northern College of Music",
"The University of Huddersfield",552.15,2.76,"University of Huddersfield",
"Staffordshire University",102.46,2.75,"Staffordshire University",
"St Mary's University, Twickenham",58.32,2.75,"St Mary's University, Twickenham",
"Liverpool John Moores University",583.5,2.735,"Liverpool John Moores University",
"Bournemouth University",513.01,2.73,"Bournemouth University",
"University of Sunderland",96.59,2.73,"University of Sunderland",
"Canterbury Christ Church University",204.6,2.725,"Canterbury Christ Church University",
"Middlesex University",404.65,2.72,"Middlesex University",
"De Montfort University",485.54,2.72,"De Montfort University",
"University of Suffolk",14,2.69,"University of Suffolk",
"London Metropolitan University",105.25,2.67,"London Metropolitan University",
"Glasgow Caledonian University",216.77,2.67,"Glasgow Caledonian University",
"Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd",140.6,2.66,"Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd",
"University of Bedfordshire",119.8,2.63,"University of Bedfordshire",
"University of Wolverhampton",296.32,2.62,"University of Wolverhampton",
"Abertay University",110.77,2.615,"Abertay University",
"Bath Spa University",172.6,2.61,"Bath Spa University",
"Harper Adams University",42.55,2.61,"Harper Adams University",
"Arts University Bournemouth, the",45.33,2.605,"Arts University Bournemouth, the",
"Teesside University",240.1,2.6,"Teesside University",
"Birmingham City University",290.17,2.6,"Birmingham City University",
"Edge Hill University",259.41,2.56,"Edge Hill University",
"University of East London",208.47,2.56,"University of East London",
"University of Winchester",163.84,2.56,"University of Winchester",
"Leeds Beckett University",352.65,2.56,"Leeds Beckett University",
"Robert Gordon University",84.06,2.56,"Robert Gordon University",
"University of the West of Scotland",272.4,2.545,"University of the West of Scotland",
"University of Derby",264.21,2.535,"University of Derby",
"University of Gloucestershire",127,2.53,"University of Gloucestershire",
"University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant",68.15,2.5,"University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant",
"Liverpool Hope University",168.26,2.48,"Liverpool Hope University",
"University of St Mark & St John",24.5,2.47,"University of St Mark & St John",
"University of Chester",255.69,2.46,"University of Chester",
"Buckinghamshire New University",30,2.45,"Buckinghamshire New University",
"The Royal Academy of Music",22.19,2.45,"Royal Academy of Music",
"Hartpury University",8.6,2.36,"Hartpury University",
"Rose Bruford College of Theatre and Performance",8.9,2.35,"Rose Bruford College of Theatre and Performance",
"York St John University",160.61,2.34,"York St John University",
"The Royal Agricultural University",16.7,2.33,"Royal Agricultural University",
"The University of Cumbria",57.85,2.28,"University of Cumbria",
"University of Worcester",148.35,2.28,"University of Worcester",
"The University of Chichester",92.27,2.225,"University of Chichester",
"Ravensbourne University London",20.4,2.2,"Ravensbourne University London",
"University of Northampton, The",150.7,2.165,"University of Northampton, The",
"University College of Osteopathy (The)",3.78,2.16,"University College of Osteopathy (The)",
"Newman University",56.9,2.16,"Newman University",
"Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam",22.37,2.105,"Wrexham Glyndŵr University / Prifysgol Glyndŵr Wrecsam",
"AECC University College",7.7,2.07,"AECC University College",
"Solent University, Southampton",53.82,2.04,"Solent University, Southampton",
"Stranmillis University College",11,2.03,"Stranmillis University College",
"Bishop Grosseteste University",45.2,1.98,"Bishop Grosseteste University",
"Leeds Trinity University",43.6,1.91,"Leeds Trinity University",
"The University of Bolton",66.35,1.63,"University of Bolton",
"Leeds Arts University",70.99,1.515,"Leeds Arts University",
"The Metanoia Institute",5.5,1.23,"Metanoia Institute",
